"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "HTTP", "comment", "blank", "total"
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Screens\WorkoutDetails.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Screens\WorkoutHistory.js", "JavaScript", 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Settings\Settings.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Statistics\Statistics.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\TabNavigator.js", "JavaScript", 62, 0, 0, 0, 0, 0, 10, 72
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Utils\Search.js", "JavaScript", 29, 0, 0, 0, 0, 0, 3, 32
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Utils\Stopwatch.js", "JavaScript", 21, 0, 0, 0, 0, 0, 7, 28
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Utils\Timer.js", "JavaScript", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\useExercise.js", "JavaScript", 18, 0, 0, 0, 0, 1, 10, 29
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\useExercises.js", "JavaScript", 24, 0, 0, 0, 0, 0, 8, 32
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\usePlannedSetsService.js", "JavaScript", 11, 0, 0, 0, 0, 0, 6, 17
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\usePlannedWorkout.js", "JavaScript", 19, 0, 0, 0, 0, 0, 6, 25
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\usePlannedWorkouts.js", "JavaScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\usePlannedWorkoutsService.js", "JavaScript", 10, 0, 0, 0, 0, 0, 5, 15
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\useSets.js", "JavaScript", 38, 0, 0, 0, 0, 1, 10, 49
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\useSetsService.js", "JavaScript", 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\useWorkouts.js", "JavaScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\hooks\useWorkoutsService.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\services\exercises.js", "JavaScript", 17, 0, 0, 0, 0, 2, 8, 27
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\services\plannedSets.js", "JavaScript", 9, 0, 0, 0, 0, 0, 8, 17
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\services\plannedWorkouts.js", "JavaScript", 18, 0, 0, 0, 0, 0, 6, 24
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\services\sets.js", "JavaScript", 17, 0, 0, 0, 0, 0, 6, 23
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\services\workouts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 6, 19
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\theme.js", "JavaScript", 26, 0, 0, 0, 0, 0, 2, 28
"Total", "-", 2874, 58, 70259, 26, 52, 85, 514, 73868
